0,The Picnic, truckPicnic.jpg ,Outdoor eating destination featuring a wide variety of food trucks and retail vendors.,,\q,PicnicAustin@gmail.com,"1720 Barton Springs Rd Austin TX 78704",https://www.thepicnicaustin.com/,4.6,30.263742748365676,-97.76290793084273
1,Abu Omar Halal,truckAbuOmar.jpg,"Abu Omar Halal serves a variety of halal street food and sandwiches but is best known for its signature chicken shawarma.",mediterranean,phone,+15125579818,"2718 Guadalupe St Austin TX 78705",https://www.abuomarhalal.com/,4.7,30.26840491513334,-97.74749071770732
2,Four Brothers,truck4Bros.jpeg,Food truck serving arepas & other Venezuelan favorites in a parking lot with outdoor picnic tables.,venezuelan,phone,+5122263971,"80 Rainey St Austin TX 78701",https://www.grubhub.com/restaurant/four-brothers-venezuelan-food-80-rainey-st-austin/492612,4.8,30.260692794701704,-97.73890765399524
3,Bananarchy,truckBananarchy.jpeg,Dessert truck serving chocolate covered bananas that are sourced ethically.,dessert,phone,+5125229316,"80 Rainey St Austin TX 78701",http://bananarchy.net/,5.0,30.259296595755643,-97.73905267486347
4,Patrizi's,truckPatrizis.jpeg,This food truck dishes up old-school Italian standards & housemade pasta.,italian,phone,+5125224834,"2307 Manor Rd Austin TX 78722",https://www.patrizis.com/,4.7,30.284121158091136,-97.71773392818389
5,Spicy Boys,truckSpicyBoys.jpeg,Pan-Asian food truck serving addiction-level sambal wings and a Thai fried chicken sandwich hearty enough to soak up even the strongest IPA,"asian chicken",phone,+5125389658,"1701 E 6th St Austin TX 78702",https://www.spicyboyschicken.com/,4.5,30.26234065088033,-97.72443320200708
6,Arlo's,truckArlos.jpeg,"Food trailer outside Cheer Up Charlie's for vegan tacos & burgers plus beer & picnic-table seats.",vegan,phone,+5128401600,"900 Red River St Austin TX 78702",http://arloscurbside.com/,4.6,30.26966498650132,-97.73623607486833
7,Mi Sabor Oaxaqueño,truckMiSaborOaxaqueño.jpeg,Authentic Mexican food truck selling the best homemade tlayudas and picaditas in town,mexican,phone,+15125274751,"10503 N Lamar Blvd Austin TX 78753",https://www.doordash.com/store/mi-sabor-oaxaqueno-austin-1316827,4.6,30.37407453137377,-97.69054461543664
8,Tony's Jamaican Food,truckTonysJamaican.jpeg,Low-key window-serve eatery featuring a menu of traditional Jamaican dishes & outdoor seating.,jamaican,phone,+15129455090,"1200 E 11th St Austin TX 78702",https://www.tonysjamaicanfood.com/,4.6,30.26896764418892,-97.72754291729086
9,T-Loc's Sonora,truckTLocsSonora.jpeg,"Specialty hot dogs with origins in Mexico & Arizona tacos burritos tortas & fries from a truck.",mexican,phone,+15129948982,"5000 Burnet Rd Austin TX 78756",https://www.tlocs.com/,4.9,30.321327667460572,-97.73946109824139
10,Kebabalicious,truckKebabalicious.jpeg,Organic Turkish kebobs in the brick-&-mortar outpost of a popular food truck. Live music outdoors.,turkish,phone,+15124666997,"1311 E 7th St Austin TX 78702",http://www.kebabalicious.com/,4.6,30.264736046108503,-97.72823558660184
